V1
                                                                                                                                                              REPUBLIC OF CONGO
""
""
""
""
"                           Table 2c. Republic of Congo: Central Government Operations, 2020–27"
                                                      (Percent of GDP)
                                                                              2020          2021        2021     2022 2022 Prog.          2022     2023        2024       2025     2026     2027
""
                                                                               Est.   Rev. Budget       Prel.   Budget   EBS/22/1
                                                                                                                           IMF CR 22/49                     Proj.
""
Total Revenue and Grants                                                       22.2          22.6       23.9      21.1       25.7          27.8     27.4        27.1       26.3     25.7     26.2
  Revenue                                                                      20.6          22.4       23.4      20.6       25.2          27.3     26.7        26.6       25.7     25.0     25.5
    Oil revenue                                                                11.0          13.6       15.0      12.2       15.0          18.6     17.1        16.7       15.0     13.3     13.2
    Non-oil revenue                                                             9.6           8.8        8.5       8.5       10.2           8.7      9.6         9.9       10.7     11.7     12.3
      Direct taxes                                                              3.4           2.9        2.9       3.2        3.7           3.3      3.6         3.8        4.1      4.5      4.7
      Taxes on goods and services                                               4.3           3.8        3.5       3.4        4.2           3.3      3.6         3.8        4.1      4.5      4.7
      Customs Receipts                                                          1.7           1.6        1.6       1.4        1.7           1.6      1.8         1.8        2.0      2.2      2.3
      Non-tax revenue                                                           0.2           0.5        0.5       0.4        0.5           0.4      0.5         0.5        0.5      0.5      0.5
Grants                                                                          1.7           0.2        0.5       0.4        0.5           0.4      0.7         0.5        0.6      0.7      0.7
Expenditure and Net Lending                                                    23.5          20.7       22.2      19.0       22.9          19.6     22.3        22.1       23.8     24.5     24.8
  Current expenditure                                                          19.9          16.8       18.9      15.3       18.2          15.6     17.3        17.0       18.1     18.5     18.4
    Wages                                                                       5.9           5.3        5.1       4.3        5.3           4.3      4.6         4.7        5.1      5.4      5.6
    Other primary current expenditure                                          11.6           9.1       11.1       8.5       10.3           8.8      9.6         9.3       10.0     10.1     10.0
      Goods and services                                                        2.6           2.0        3.8       2.1        2.6           2.2      2.4         2.3        2.7      2.7      2.8
      Transfers                                                                 8.0           6.2        6.0       5.6        6.8           5.9      6.4         6.2        6.6      6.6      6.5
"          Social Transfers (Lisungi, COVID-19 and others)                       1.3           1.3        1.3       2.1        1.4           1.5      1.8         1.7        1.9      2.0      2.1"
            Oil-related transfers                                               1.4            …         1.4       0.9        1.1           0.9      1.1         0.9        1.1      0.8      0.8
           Other transfers                                                      5.2            …         3.3       2.6        4.3           3.5      3.5         3.7        3.7      3.7      3.7
      Common charges                                                            1.0           0.9        1.3       0.7        0.9           0.7      0.7         0.7        0.7      0.8      0.6
    Annex budgets and special Accounts 1                                        1.0           0.6        0.5       0.5        0.6           0.5      0.5         0.5        0.5      0.5      0.3
    Interest                                                                    1.3           1.8        2.2       2.0        2.1           2.1      2.6         2.5        2.5      2.6      2.5
         Domestic                                                               0.6            …         1.1       0.0        0.8           0.8      1.7         1.7        1.9      2.1      2.0
         External                                                               0.8            …         1.1       0.0        1.3           1.2      0.9         0.7        0.6      0.5      0.5
          of which: COVID-19 Moratorium Loan (interest)                         0.0            …         0.0       0.0        0.0           0.0      0.0         0.0        0.0      0.0      0.0
          of which: on oil-prepurchased debt                                    0.0            …         0.3       0.0        0.7           0.3      0.2         0.1        0.0      0.0      0.0
  Capital expenditure                                                           3.6           3.9        3.2       3.8        4.7           3.9      5.1         5.1        5.8      6.0      6.4
    Domestically financed                                                       2.0           2.1        1.9       1.8        2.2           1.8      2.4         2.6        3.0      3.3      3.7
    Externally financed                                                         1.6           1.8        1.3       1.9        2.5           2.1      2.7         2.5        2.8      2.7      2.7
Non-oil primary balance2                                                      -10.8          -9.8      -11.1      -8.2      -10.2          -8.4     -9.4        -9.2      -10.1     -9.6     -9.3
Basic non-oil primary balance3                                                -10.9          -8.3      -10.2      -6.7       -8.2          -6.7     -7.5        -7.2       -7.8     -7.5     -7.3
  - excluding oil-related transfers 4                                          -9.5          -8.3       -8.8      -6.7       -7.1          -5.8     -6.5        -6.3       -6.8     -6.7     -6.5
Primary balance                                                                 0.1           3.7        3.9       4.0        4.8          10.2      7.7         7.5        4.9      3.7      3.9
"Overall balance, payment order basis"
   Excluding grants                                                            -2.9           1.7        1.3       1.6        2.2           7.7      4.4            4.5     1.8      0.5      0.7
   Including grants                                                            -1.2           1.9        1.7       2.0        2.7           8.2      5.1            5.0     2.5      1.1      1.4
"Overall balance, cash basis                                                    -0.7           1.9         1.7      2.0        2.7           8.2      5.1            5.0     2.5      1.1      1.4"
Financing                                                                       0.7          -1.9        -1.7     -6.7       -5.9         -10.7     -7.6        -6.5       -2.5     -1.1     -1.4
   Foreign (net)                                                                0.8          -3.4        -4.7     -3.6       -5.2          -7.7     -5.1        -3.3       -1.0     -0.4     -0.3
       Drawings                                                                 1.3           1.6         1.1      1.5        2.0           1.6      1.9         2.0        2.2      2.0      2.0
       COVID-19 Moratorium Loan                                                 2.6            …          1.3      0.0        0.0           0.0      0.0         0.0        0.0      0.0      0.0
     Amortization (paid)                                                       -7.9          -5.0        -6.0     -5.1       -7.2          -9.4     -7.0        -5.3       -3.2     -2.4     -2.3
       of which: COVID-19 Moratorium Loan (principal and interest)              0.0            …          0.0      0.0        0.7           0.7      0.8         0.7        0.2      0.2      0.2
       of which: on oil-prepurchased debt                                      -0.3            …         -1.7      0.0       -3.3          -3.8     -3.4        -2.1       -0.6      0.0      0.0
     Other foreign financing                                                    1.4            …         -1.1      0.0        0.0           0.0      0.0         0.0        0.0      0.0      0.0
   Domestic (net)                                                              -0.1           1.6         3.0     -3.1       -0.7          -3.0     -2.5        -3.2       -1.4     -0.7     -1.1
     Banking system (net)                                                       5.4           6.1         6.4      1.4        1.4           0.8     -0.7        -2.2       -0.6      1.9      1.3
       Central bank                                                             1.9           0.5         0.4      1.4        0.8          -1.9     -3.0        -2.9       -3.1     -2.3     -2.6
          of which Use of SDR Allocations                                        …             …          0.5       …         1.7           1.4       …           …          …        …        …
       Commercial banks 5                                                       3.5           5.6         6.0      0.0        0.7           2.7      2.3         0.8        2.5      4.3      3.9
     Nonbank financing5                                                        -5.4          -4.5        -3.4     -4.5       -2.1          -3.8     -1.8        -1.1       -0.8     -2.6     -2.4
         Of which: Repayment of domestic arrears                               -3.4          -1.8        -4.5      0.0       -2.8          -4.6     -2.4        -2.3       -1.7     -1.6     -1.3
 Financing gap (- = surplus)                                                    0.0           0.0         0.0      4.7        3.1           2.6      2.5         1.5        0.0      0.0      0.0
 Expected financing (excluding IMF)                                             0.0           0.0         0.0       …         1.0           0.7      1.9         0.9        0.0      0.0      0.0
 IMF-ECF                                                                        0.0           0.0         0.0       …         2.1           1.8      0.6         0.6        0.0      0.0      0.0
 Residual financing gap                                                         0.0           0.0         0.0       …         0.0           0.0      0.0         0.0        0.0      0.0      0.0
 Memorandum items:
    Stock of domestic arrears 6                                               22.9              …       14.5         …       18.5          14.3     10.7         7.4         5.3      3.4      1.9
    Stock of government deposits                                                1.6             …         3.1        …         1.2           4.4      7.5      10.1        12.8     14.7     16.3
    CEMAC Reference fiscal balance7                                             2.6             …        -0.9        …        -1.2          -1.2     -1.9        0.4         0.9      0.3     -0.5
"    GDP at current market prices                                             5,937          7,006      7,006     8,721      7,189         8,721    8,755      9,184       9,277    9,414    9,844"
"    Non-oil GDP at market prices                                             4,245          4,478      4,478     4,792      4,639         4,792    5,138      5,504       5,924    6,407    6,930"
Sources: Congolese authorities; and IMF staff estimates and projections.
1
    Includes net spending (i.e. spending minus revenues) associated with decentralized government entities.
2
  Revenue and grants excluding oil revenues minus total primary expenditures (excluding interest payments).
3
   Non oil revenue excluding grants minus total expenditures excluding interest payments and foreign-financed investment.
4
  Basic non-oil primary balance minus oil revenue and oil-related transfers.
5
   Include resident and non-resident creditors from the CEMAC region.
6
  Includes estimates of domestic arrears audited by the the Caisse Congolaise d'Amortisation (CCA) and reported but not yet audited arrears.
7
  CEMAC definition: overall balance minus 20 percent of oil revenues and minus 80 percent of the oil revenue in excess of the average observed during the three previous years.
""
""
""
""
                                                                                                                            INTERNATIONAL MONETARY FUND                                     25
