V1
REPUBLIC OF CONGO
""
""
""
""
"                     Table 2b. Republic of Congo: Central Government Operations, 2020–27"
                                             (Percent of non-oil GDP)
                                                                         2020        2021        2021         2022 2022 Prog.        2022     2023     2024     2025     2026        2027
                                                                                      Rev.
                                                                           Est.                  Prel.       Budget    EBS/22/1
                                                                                                                      IMF CR 22/49                     Proj.
                                                                                   Budget
 Total Revenue and Grants                                                  31.1       35.3      37.4           38.3        39.8       50.5     46.7     45.1     41.2     37.7        37.3
    Revenue                                                                28.8       35.0      36.7           37.5        39.0       49.7     45.5     44.3     40.2     36.7        36.3
       Oil revenue                                                         15.3       21.2      23.4           22.1        23.2       33.9     29.2     27.8     23.5     19.5        18.7
            of which: repayment of oil-prepurchased debt                     1.9         …        2.2           0.0         1.7        1.6      1.8      1.4      1.7      1.2         1.1
       Non-oil revenue                                                     13.4       13.8      13.2           15.4        15.8       15.8     16.3     16.5     16.8     17.2        17.5
          Direct taxes                                                       4.7        4.5       4.5           5.9         5.8        6.1      6.2      6.3      6.4      6.6         6.7
          Taxes on goods and services                                        6.0        6.0       5.5           6.2         6.6        6.0      6.2      6.3      6.4      6.6         6.7
          Customs receipts                                                   2.4        2.5       2.5           2.6         2.7        3.0      3.1      3.1      3.1      3.2         3.3
          Non-tax revenue                                                    0.3        0.8       0.8           0.8         0.8        0.8      0.9      0.8      0.8      0.8         0.8
 Grants                                                                      2.3        0.3       0.7           0.8         0.8        0.8      1.3      0.8      1.0      1.0         1.0
 Expenditure and Net Lending                                               32.8       32.4      34.7           34.7        35.5       35.6     38.0     36.8     37.3     36.1        35.2
    Current expenditure                                                    27.8       26.3      29.6           27.8        28.2       28.5     29.4     28.3     28.3     27.2        26.2
       Wages                                                                 8.3        8.3       8.0           7.9         8.2        7.9      7.9      7.9      7.9      7.9         7.9
       Other primary current expenditure                                   16.2       14.2      17.4           15.4        15.9       15.9     16.3     15.5     15.7     14.8        14.2
          Goods and services                                                 3.7        3.2       5.9           3.9         4.1        4.0      4.1      3.9      4.2      4.0         4.0
          Transfers                                                        11.2         9.6       9.4          10.2        10.5       10.7     11.0     10.4     10.4      9.7         9.3
"             Social Transfers (Lisungi, COVID-19 and others)                 1.9        2.0       2.0           3.9         2.2        2.7      3.1      2.8      2.9      3.0         3.0"
               Oil-related transfers                                         1.9         …        2.2           1.6         1.7        1.6      1.8      1.4      1.7      1.2         1.1
               Other transfers                                               7.3         …        5.2           4.7         6.6        6.4      6.0      6.1      5.7      5.5         5.2
          Common charges                                                     1.4        1.4       2.1           1.4         1.3        1.3      1.3      1.2      1.2      1.1         0.9
       Annex budgets and special Accounts 1                                  1.4        0.9       0.8           0.9         0.9        0.9      0.8      0.8      0.8      0.7         0.5
       Interest                                                              1.9        2.9       3.4           3.6         3.2        3.7      4.4      4.1      3.9      3.8         3.6
            Domestic                                                         0.8         …        1.7           0.0         1.3        1.5      2.8      2.9      2.9      3.0         2.9
            External                                                         1.1         …        1.7           0.0         1.9        2.3      1.5      1.2      0.9      0.8         0.7
              of which: COVID-19 Moratorium Loan (interest)                  0.0         …        0.1           0.0         0.1        0.1      0.1      0.0      0.0      0.0         0.0
              of which: on oil-prepurchased debt                             0.0         …        0.5           0.0         1.0        0.6      0.3      0.2      0.0      0.0         0.0
    Capital expenditure                                                      5.0        6.1       5.1           6.9         7.3        7.2      8.6      8.5      9.1      8.8         9.1
       Domestically financed                                                 2.8        3.3       3.0           3.4         3.5        3.4      4.1      4.3      4.6      4.9         5.3
       Externally financed                                                   2.2        2.8       2.0           3.5         3.9        3.8      4.5      4.2      4.4      4.0         3.8
                              2
 Non-oil primary balance                                                  -15.2      -15.4     -17.3          -14.9       -15.7      -15.3    -16.1    -15.4    -15.8    -14.1       -13.1
                                    3
 Basic non-oil primary balance                                            -15.3      -12.9     -16.0          -12.1       -12.7      -12.3    -12.8    -12.0    -12.3    -11.1       -10.3
    - excluding oil-related transfers 4                                   -13.3      -12.9     -13.8          -12.1       -11.0      -10.6    -11.0    -10.5    -10.6     -9.8        -9.2
 Primary balance                                                             0.2        5.8       6.1           7.2         7.5       18.6     13.1     12.5      7.7      5.5         5.6
" Overall balance, payment order basis"
     Excluding grants                                                       -4.1        2.6       2.0           2.9         3.5       14.1      7.5      7.5      2.9      0.7         1.0
     Including grants                                                       -1.7        2.9       2.7           3.6         4.3       14.9      8.7      8.4      3.8      1.6         2.0
" Overall balance, cash basis                                                -1.0        2.9       2.7           3.6         4.3       14.9      8.7      8.4      3.8      1.6         2.0"
 Financing                                                                   1.0       -2.9      -2.7         -12.2        -9.1      -19.6    -13.0    -10.9     -3.8     -1.6        -2.0
    Foreign (net)                                                            1.1       -5.4      -7.4          -6.5        -8.0      -14.1     -8.6     -5.5     -1.6     -0.6        -0.4
       Drawings                                                              1.8        2.4       1.8           2.7         3.1        3.0      3.3      3.4      3.5      3.0         2.8
       COVID-19 Moratorium Loan                                              3.6         …        2.0           0.0         0.0        0.0      0.0      0.0      0.0      0.0         0.0
       Amortization (paid)                                                -11.1        -7.8      -9.4          -9.2       -11.1      -17.1    -11.9     -8.8     -5.1     -3.6        -3.2
         of which: COVID-19 Moratorium Loan (principal and interes           0.0         …        0.0           0.0         1.1        1.2      1.4      1.2      0.3      0.3         0.3
         of which: on oil-prepurchased debt                                 -0.4         …       -2.7           0.0        -5.1       -7.0     -5.7     -3.5     -1.0      0.0         0.0
       Other foreign financing                                               1.9         …       -1.8           0.0         0.0        0.0      0.0      0.0      0.0      0.0         0.0
