V1
SRI LANKA
""
""
""
""
"                  Table 2b. Sri Lanka: Summary of Central Government Operations, 2015–23"
                                             (In percent of GDP)
                                                                      2015     2016         2017               2018           2019     2020     2021     2022     2023
                                                                                       CR/18/3     Est.   CR/18/3   Proj.                      Proj.
""
""
""
 Total revenue and grants                                              13.3     14.2      14.2     13.8      15.0     14.6     15.9     16.0     16.1     16.2     16.2
     Total revenue                                                     13.3     14.2      14.2     13.8      15.0     14.6     15.9     16.0     16.1     16.2     16.1
      Tax revenue                                                      12.4     12.3      12.9     12.6      13.7     13.3     14.6     14.7     14.8     14.9     14.9
        Income taxes                                                    2.4      2.2       2.1      2.1       2.3      2.4      3.0      3.1      3.2      3.3      3.3
        VAT                                                             2.0      2.4       3.3      3.3       3.8      3.5      3.9      4.0      4.1      4.2      4.2
        Excise taxes                                                    4.5      3.8       3.7      3.5       3.8      3.8      4.1      4.1      4.0      4.0      3.9
        Other trade taxes                                               1.7      1.8       1.6      1.6       1.6      1.3      1.3      1.3      1.3      1.3      1.2
        Other                                                           1.7      2.1       2.2      2.1       2.2      2.3      2.3      2.3      2.2      2.2      2.2
      Nontax revenue                                                    0.9      1.9       1.3      1.2       1.3      1.2      1.2      1.2      1.2      1.2      1.2
     Grants                                                             0.1      0.1       0.1      0.1       0.1      0.1      0.1      0.1      0.1      0.1      0.1
""
 Total expenditure and net lending                                     20.4     19.6      19.9     19.4      20.0     19.2     19.5     19.5     19.6     19.7     19.6
     Current expenditure                                               15.5     14.8      15.1     14.5      15.3     14.5     14.6     14.7     14.7     14.7     14.5
      Civil service wages and salaries                                  3.0      2.8       2.7      2.6       2.6      2.4      2.4      2.4      2.4      2.4      2.4
      Other civilian goods and services                                 1.2      0.7       0.7      0.6       0.7      0.7      0.7      0.7      0.7      0.7      0.7
      Security expenditure                                              2.7      2.6       2.5      2.3       2.5      2.4      2.4      2.4      2.4      2.4      2.4
      Subsidies and transfers                                           3.8      3.5       3.7      3.4       3.6      3.5      3.6      3.6      3.6      3.6      3.6
      Interest payments                                                 4.8      5.1       5.5      5.5       5.9      5.6      5.6      5.6      5.6      5.6      5.4
     Capital expenditure and net lending                                4.8      4.8       4.8      4.9       4.7      4.7      4.9      4.9      4.9      5.0      5.1
""
 Overall balance                                                       -7.0     -5.4      -5.7     -5.5      -5.0     -4.6     -3.6     -3.5     -3.5     -3.5     -3.5
 Financing                                                              7.0      5.4       5.7      5.5       5.0      4.6      3.6      3.5      3.5      3.5      3.5
     Net external financing                                             2.7      3.3       2.3      3.3       2.1      2.5      0.7      0.6      0.7      0.8      0.8
     Net domestic financing                                             4.3      2.1       3.4      2.2       2.9      2.1      2.9      2.9      2.7      2.7      2.7
""
 Memorandum items:
     Central government primary balance                                -2.2     -0.2      -0.2      0.0       1.0      1.0      2.0      2.1      2.1      2.1      2.0
     Cyclically adj. primary balance (in percent of potential GDP)     -2.3     -0.3        …       0.1        …       1.0      2.0      2.1      2.1      2.1      2.0
     Nonfinancial SOE balance 1/                                       -0.2      0.3        …        …         …        …        …        …        …        …        …
        Ceylon Electricity Board                                        0.2     -0.1        …      -0.4        …        …        …        …        …        …        …
        Ceylon Petroleum Corporation                                   -0.2      0.6        …       0.0        …        …        …        …        …        …        …
        Sri Lankan Airlines                                            -0.2     -0.2        …      -0.1        …        …        …        …        …        …        …
        Other                                                          -0.1      0.0        …        …         …        …        …        …        …        …        …
     Central government debt                                           78.5     79.6      81.6     79.3      80.3     77.3     75.2     73.0     70.9     68.8     66.7
        Domestic currency                                              42.8     43.0      42.2     40.2      41.7     37.6     38.2     38.7     39.0     39.2     37.5
        Foreign currency                                               35.7     36.6      39.4     39.0      38.6     39.7     37.0     34.3     31.9     29.6     29.2
     Publicly guaranteed debt                                           3.7      4.4        …       4.4        …        …        …        …        …        …        …
     Financial obligations of nonfinancial SOEs 2/                     13.7     11.9        …      10.8        …        …        …        …        …        …        …
     Fund credit outstanding                                            1.0      0.7       0.9      0.9       1.5      1.4      1.6      1.5      1.3      1.1      0.8
"     Nominal GDP (in billion of rupees)                              10,951   11,907    13,027   13,289    14,271   14,524   15,899   17,437   19,142   21,034   23,134"
""
""
 Sources: Data provided by the Sri Lankan authorities; and IMF staff estimates.
 1/ For 42 nonfinancial SOEs reported in MOF Annual Reports.
" 2/ The figure does not cover all nonfinancial SOEs. It covers financial obligations of Ceylon Electricity Board, Ceylon Petroleum"
" Corporation, Sri Lanka Ports Authority, Road Development Authority, Sri Lankan Airlines, and other SOEs."
""
""
""
""
40     INTERNATIONAL MONETARY FUND
