V1
                                                                                                                                                    SRI LANKA
""
""
""
""
"             Table 2a. Sri Lanka: Summary of Central Government Operations, 2015–23"
                                       (In billions of rupees)
""
                                                     2015     2016          2017                 2018                2019     2020     2021        2022     2023
                                                                      CR/18/3       Est.   CR/18/3      Proj.                         Proj.
""
""
""
""
"Total revenue and grants                            1,461     1,694      1,854     1,840     2,146       2,124       2,531    2,795    3,088       3,413    3,739"
" Total revenue                                      1,455     1,686      1,846     1,832     2,136       2,114       2,520    2,783    3,075       3,399    3,723"
"   Tax revenue                                      1,356     1,464      1,680     1,670     1,954       1,934       2,323    2,567    2,838       3,138    3,436"
     Income taxes                                     263       259        272      275        323         343        478      533       604        685      765
     VAT                                              220       283       435       444        545         515        624      701       784        876      978
     Excise taxes                                     498       455        476      469        538         554        647      707       775        850      909
     Other trade taxes                                184       212        214      208        228         190        210      229       246        265      284
     Other                                            191       254        283      275        321         332        364      397       429        464      501
   Nontax revenue                                      99       222        166      161        182         180        197      216       237        261      287
 Grants                                                  6        7          8        8         10          10         11       12        13         14       16
""
"Total expenditure and net lending                   2,229     2,334      2,597     2,573     2,854       2,791       3,102    3,404    3,753       4,145    4,543"
" Current expenditure                                1,702     1,758      1,973     1,928     2,189       2,111       2,328    2,555    2,807       3,086    3,360"
   Civil service wages and salaries                   323       334       346       348        365         354        388      425       467        513      564
   Other civilian goods and services                  135        86         96       78        105         100        109      120       131        144      159
   Security expenditure                               297       307        331      309        355         343        375      411       451        496      546
   Subsidies and transfers                            419       419        480      458        515         507        572      627       688        756      832
"   Interest payments                                  527       611        720      736        849         807        885      972     1,069       1,176    1,260"
" Capital expenditure and net lending                  527       576        624      645        665         680        774      849       946       1,060    1,183"
""
Overall balance                                      -768      -640       -742     -733       -707        -667       -571      -609     -665        -732    -804
Financing                                             768       640        742      733        707         667        571      609       665        732      804
 Net external financing                               292       392        302      439        293         359        114      112       140        163      181
 Net domestic financing                               476       248        440      294        414         307        457      497       525        569      623
""
Memorandum items:
 Central government primary balance                  -241       -29        -23        2        141         141        314      363       405        444      456
 Nonfinancial SOE balance 1/                           -23       34         …         …          …              …       …        …            …       …        …
     Ceylon Electricity Board                          21       -14         …        -47         …              …       …        …            …       …        …
     Ceylon Petroleum Corporation                      -18       70         …         4          …              …       …        …            …       …        …
     Sri Lankan Airlines                               -18      -30         …        -18         …              …       …        …            …       …        …
     Other                                              -8        1         …         …          …              …       …        …            …       …        …
" Central government debt                            8,595     9,479     10,630   10,534     11,460   11,233         11,963   12,737   13,569      14,469   15,423"
"     Domestic currency                              4,686     5,121      5,493     5,349     5,958       5,463       6,075    6,755    7,464       8,253    8,670"
"     Foreign currency                               3,909     4,358      5,136     5,185     5,502       5,770       5,888    5,983    6,105       6,217    6,753"
 Publicly guaranteed debt                             408       524         …       590          …              …       …        …            …       …        …
" Financial obligations of nonfinancial SOEs 2/      1,501     1,414         …      1,432         …              …       …        …            …       …        …"
 Fund credit outstanding                              110        83        119      118        208         203        251      256       255        235      197
" Nominal GDP (in billion of rupees)                10,951    11,907     13,027   13,289     14,271   14,524         15,899   17,437   19,142      21,034   23,134"
""
""
Sources: Data provided by the Sri Lankan authorities; and IMF staff estimates.
1/ For 42 nonfinancial SOEs reported in MOF Annual Reports.
"2/ The figure does not cover all nonfinancial SOEs. It covers financial obligations of Ceylon Electricity Board, Ceylon"
"Petroleum Corporation, Road Development Authority, Sri Lanka Ports Authority, Sri Lankan Airlines, and other SOEs."
""
""
""
""
                                                                                                     INTERNATIONAL MONETARY FUND                             39
