V1
                                                                                                                             REPUBLIC OF SAN MARINO
""
""
""
"Table 4. San Marino: Statement of Operations for Budgetary Central Government, 2012–20"
                                    (Percent of GDP)
                                                                                                                                       Projection
                                                                                 2012     2013     2014     2015     2016     2017     2018       2019     2020
Revenue                                                                           21.6     20.8     23.2     21.4     21.8     21.1     21.8       21.2     20.7
   Taxes 1/                                                                       15.6     15.7     17.7     16.2     15.4     15.8     16.6       16.7     16.3
   Income Taxes                                                                    7.5      7.9      8.3      8.3      7.7      7.7      7.6        7.7      7.6
   Non-income taxes                                                                8.1      7.7      9.4      7.9      7.7      8.1      9.0        9.0      8.7
       Taxes on international trade and transactions                               4.7      5.2      6.6      5.3      5.2      5.6      5.3        5.4      5.3
       Other taxes                                                                 3.4      2.5      2.8      2.6      2.5      2.5      3.6        3.5      3.5
   Non-tax revenue                                                                 6.0      5.2      5.4      5.2      6.4      5.3      5.2        4.5      4.4
Expenditure                                                                       23.7     21.8     22.4     21.7     22.1     21.4     22.1       21.5     20.1
   Current Expenditure                                                            21.4     20.4     20.2     20.3     20.0     20.3     20.0       19.4     18.8
       Compensation of employees                                                   7.3      7.3      6.8      6.7      6.6      6.7      6.4        6.3      6.1
       Use of goods and services                                                   2.2      2.0      2.2      2.0      2.0      2.0      1.7        1.6      1.5
        Interest                                                                   0.1      0.1      0.2      0.2      0.3      0.4      0.8        0.8      0.8
       Transfers                                                                  11.5     10.7     10.7     11.1     10.9     10.8     10.7       10.4     10.0
           To other general government units                                      10.5     10.0      9.9     10.3     10.1     10.2     10.0        9.8      9.5
       Other expenses (including subsidies)                                        0.4      0.3      0.2      0.2      0.2      0.3      0.3        0.3      0.3
   Capital Expense                                                                 2.3      1.4      2.2      1.4      2.1      1.2      2.1        2.0      1.3
   Net acquisition of non-financial assets                                         6.0      7.2      2.2      3.6      0.8      1.8      0.9        0.9      0.9
       Asset purchase                                                              1.6      0.9      2.2      0.9      0.9      1.0      1.0        0.9      0.9
       Asset sale                                                                 -4.4     -6.2      0.0     -2.6      0.1     -0.8      0.0        0.0      0.0
Gross Operating Balance                                                            0.2      0.5      3.0      1.1      1.8      0.9      1.8        1.8      1.9
Net lending (+)/borrowing (-) (fiscal balance)                                    -2.1     -1.0      0.8     -0.3     -0.3     -0.3     -0.3       -0.2      0.6
primary balance                                                                   -2.0     -0.9      1.0      0.0      0.0      0.1      0.6        0.6      1.4
""
Memorandum items
Social Security balance                                                           -1.4     -0.5     -0.4     -0.4     -0.6       …        …         …         …
Public debt                                                                       15.8     21.5     19.6     20.3     22.5     56.6     55.5      54.6      52.8
"Public debt, ex. obligation to amortize CRSM 2016 loss                            15.8     21.5     19.6     20.3     22.5     22.5     22.5      22.4      21.4"
Government deposits                                                                5.4      4.1      3.0      2.4      1.8      1.6      1.5       1.5       1.5
Nominal GDP (in millions of euros)                                              1360.3   1361.5   1348.0   1373.3   1414.2   1449.0   1490.6    1529.4    1571.6
""
Sources: Sammarinese authorities; and IMF staff calculations and projections.
1/ Does not reflect the introduction of the VAT.
""
""
""
""
                                                                                                             INTERNATIONAL MONETARY FUND                     25
