V1
NORWAY
"Table 4. Norway: General Government Accounts, 2007-2016"
(Percent of mainland GDP)
2007      2008      2009 2010 2011       2012       2013       2014      2015       2016
Revenue                                                                                              74.4            78.1            68.9          69.0            tou            724            68.6            66.7            64.3             61.9
Taxes                                                              42.9        43.9        39.1      40.6        424        41.5        38.6        35.8        33.3        32.4
Social contributions                                                               11.2            11.6           11.9         11.7            12.0            12.1            12.1            12.3            12.4            12.2
Grants and other revenues                                                  20.3            22.6            17.9          16.7            18.7            18.9            18.0            18.6            18.6             17.3
Expense                                                                                              50.9            51.3            54.1          53.8            54.3            53.5            53.3            54.0            55.4             55.4
Compensation of employees                                            15.1            is            16.4         16.4           16.8            16.7            16.8           16.9            17.1             17.0
Use of goods and services                              6.7        6.8        r       ra         tae         6.9         7.0        7.1         74         74
Consumption of fixed capital                             3.2         |         5 a       3.5         3.7         3.8         3.6         3.7         3.9         4.0
Interest                                                                                                    3.4               2.8               1.8             le                1.5                1.2                1.1                1.0               0.9                0.8
Subsidies                                                           2.2         2.3         PM        Z5          Pe”          2.4          2.4         2.4         2.4          2.5
Social benefits                                                                                 17.6             17.8             19.2          19.3             19.7             19.5             19.3             19.6            20.2             20.3
Granth and other                                         re        2.9        3.2       3.2        3.1         2.9        3.1         ce        3.4         3.4
Gross operating balance                                                           26.7            30.0            18.3          188            22.5            22.7            18.9            16.4            12.8             10.5
Net operating balance                                                       235          26.8           148         15.2           18.8           19.0           15.3           12.7             9.0             6.6
Net acquisition of nonfinancial assets                        1S           Pi          2.0         i           14           1.1           1.6          1.9          LF           2.0
Net financing
Net lending/borrowing                                                          22.0           25.0           12.8         13.7           174           17.9           13.7           10.8             Le              4.6
Net acquisition of financial assets                      26.7        15.3         3.2      18.1          1.9       21.6        16.6         8.9        13.9         9.0
Currency and deposits                                   0.0       -0.8        -0.8       0.5        -2.3         2.9        -1.9         1.4       -0.5         3.0
Securities other than shares                           3.2       10.3      -17.0       8.5        0.7        6.9       14.2        3.1         5.5         1.8
Loans                                                              77       -26.4         5.4        3.2        -9.1          1.4          2.7        -2.3         3.4          0.8
Shares and other equity                                   14.8        28.5        17.6        43        11.5        10.2          2.2          6.6          wa          3.1
Insurance technical reserves                          0.0       -0.1        0.0       0.1         0.0        0.0        0.2        0.1        0.2         0.1
Financial derivatives                                    0.0        0.0        0.0       0.0        0.0        0.0        0.0        0.3        0.0       -0.1
Other accounts receivable                           1.0        3.9       -2.2       1.6        1.1        0.1       -0.9       -0.4        0.1        0.3
Monetary gold and SDRs                           0.0       0.0       0.0      0.0       0.0       0.0       0.0       0.0       0.0        0.0
Net incurrence of liabilities                                        47          -9.7          -9.6         44        -15.5           a7           3.0          -2.0           6.7           44
Currency and deposits                                  0.0        0.0        0.0       0.0        0.0        0.0        0.0        0.0        0.0         0.0
Securities other than shares                            -0.8         35        10.6        1.1        -3.8         3.1        -1.2        -0.3         1.0         5 eK.
Loans                                  3.9    -14.7    -18.4    2.5    -10.2     0.5     3.0     -2.2     4.6     2.9
Shares and other equity                            0.0       0.0       0.0      0.0       0.0       0.0       0.0       0.0       0.0        0.0
Insurance technical reserves                          0.0        0.0        0.0       0.0        0.0        0.0        0.0        0.0        0.0        0.0
Financial derivatives                                    0.0        0.0        0.0       0.0        0.0       -0.1        0.0        0.3        0.0       -0.1
Other accounts receivable '                          1.6        is       -1.8      0.8       -1.5        0.2        1.2        0.2        1.1        0.3
Balance sheet
Net financial worth                                                                  179.4 166.2         1908 2046 2068 2180 263.0 3083 338.9          332.0
Financial assets                                                       250.7 2388 2502 2649 2504 2632 3079 349.6 385.2        381.0
Currency and deposits                                                          12.7            11.6            10.6          10.6               78            10.3               7.9               9.0               8.2             10.9
Securities other than shares                            64.3       86.1        59.8      64.5       65.5       66.7       80.2       95.1      106.3      101.1
Loans                                                                                                 51.5             31.1             35.7          36.9            26.5            26.3             28.2            25.1             28.1              ate
Shares and other equity                          105.9      948 1299 138.1     135.1     144.2     177.0 206.1     228.0     226.7
Insurance technical reserves                           1.2        0.7        0.9       1.0        1.5         1.6        2.2        2.7        3.1         3.5
Financial derivatives                                    0.0        0.0        0.0       0.0        0.0        0.1        0.1        0.3        0.4        0.5
Other accounts receivable                                            im           14.5           13.4         13.8           14.1            14.0           123           11.3           11.0            10.8
Monetary gold and SDRs                           0.0       0.0       0.0      0.0       0.0       0.0       0.0       0.0       0.0        0.0
Financial liabilities                                                     71.3         72.6         594 604         43.7         45.3         44.9         41.3         46.3         49.0
Currency and deposits                                   0.0        0.0        0.0       0.0         0.0         0.0         0.0         0.0        0.0         0.0
Securities other than shares                          12.8       16.1       26.3     26.1       21.6       23.1       20.4       19.5       19.7       20.0
Loans                                                                                   50.3           47.2           25.6 267           15.7           15.9           18.2           15.4           19.5           21.7
Shares and other equity                            0.0       0.0       0.0      0.0       0.0       0.0       0.0       0.0       0.0        0.0
Insurance technical reserves                          0.0        0.0        0.0       0.0        0.0        0.0        0.0        0.0        0.0        0.0
Financial derivatives                                    0.0        0.0        0.0       0.0        0.0        0.2        0.2        0.5        0.4        0.3
Other accounts receivable                           8.2        9.3        fe      foo        6.4        6.1        6.1        5.9        6.7        7.1
Mainland GDP (billions of NOK)                     1831.0 1946.7 1966.1 2077.6 2161.6 22984 2423.2 2539.6 2621.0 2717.3
"Sources: IMF Government Finance Statistics, Ministry of Finance, and Fund staff calculations."
1/ Includes statistical discrepancy.
INTERNATIONAL MONETARY FUND 37
