V1
                                                                                                                                                                      ARGENTINA
""
""
""
                                        Table 4. Argentina: Federal Government Operations
                                                                                         Prog.       Prog.                                        Proj.
                                                                   2016         2017     2018        2019           2018        2019       2020           2021      2022      2023
                                                                                                             (Billions of Argentine pesos)
"Revenues                                                        2,180.9      2,754.8     3,512.8      4,373.8     3,667.3     5,060.8     6,104.7         6,936.0   7,513.1   8,086.4"
"   Tax revenues                                                  1,528.3      1,874.4    2,365.2       2,931.8     2,527.5    3,579.1     4,337.5         4,927.2   5,285.4   5,635.0"
"   Social security contributions                                   558.1        727.3      912.7      1,137.3        915.5    1,139.5     1,372.7         1,589.8   1,795.3   1,985.8"
   Nontax revenues                                                  94.6        153.2      234.9         304.7       224.3      342.2       394.5           419.0     432.3     465.6
"Primary expenditures                                            2,524.5      3,183.8     3,871.1      4,584.8     4,034.0     5,054.7     5,884.8         6,667.8   7,184.0   7,693.6"
"   Federal expenditures                                         1,835.0      2,257.6     2,694.5      3,188.5     2,835.6     3,517.6     4,009.4         4,471.5   4,845.9   5,249.3"
      Wages 1/                                                     316.8        401.0      489.2         580.9       498.2      646.9       728.8           810.9     898.9     971.0
      Goods and services 1/                                         91.8        121.3      123.3         141.0       125.8      150.6       163.5           180.2     192.9     203.1
"      Pensions                                                     734.7     1,022.5     1,312.1      1,643.4     1,310.4     1,763.1     2,193.7         2,439.3   2,636.5   2,829.8"
      Current transfers to private sector                          511.0        531.9      594.4         672.3       686.4      779.5       712.7           763.9     797.8     856.8
          Social assistance                                        219.9        282.0      351.6         431.9       377.9      481.1       579.9           634.8     685.4     731.7
          Energy 2/                                                209.2        150.5      149.3         141.0       202.7      210.9        99.3           111.2      93.9     106.1
          Transport                                                 80.2         90.5       93.6          99.4       103.1       84.0        33.5            17.9      18.6      19.1
          Other                                                      1.7          9.0        0.0           0.0         2.7        3.6         0.0             0.0       0.0       0.0
      Capital spending                                             117.8        121.1       99.9          78.6       143.9      132.8       168.6           205.2     240.7     302.9
      Other current primary spending                                62.8         59.7       75.5          72.3        70.9       44.7        42.1            71.8      79.1      85.7
"   Transfers to provinces                                          689.5        926.2    1,176.6      1,396.3     1,198.4     1,537.2     1,875.3         2,196.4   2,338.1   2,444.3"
"      Automatic                                                    551.6        756.8    1,027.0      1,327.2     1,050.8     1,412.1     1,791.1         2,100.6   2,259.0   2,358.6"
      Discretionary                                                137.8        169.5      149.6          69.1       147.5      125.1        84.3            95.8      79.1      85.7
          Capital                                                   64.3         86.8       68.8          27.3        52.1       44.7        42.1            47.9      52.7      57.1
          Current                                                   73.6         82.7       80.8          41.8        95.4       80.4        42.1            47.9      26.4      28.6
 Primary balance                                                 -343.5       -429.0      -358.3       -211.0      -366.7         6.0       219.9           268.2     329.1     392.8
    Interest cash (net of ANSES and public sector)                 131.3        224.9      301.8         387.8       361.4      694.3       833.8           985.1     965.8     938.0
 Overall balance                                                 -474.8       -653.9      -660.1       -598.8      -728.1      -688.3      -613.8          -716.9    -636.7    -545.1
""
Memorandum items:
"Capital spending, including capital transfers to provinces         182.0       207.9        168.8       105.9       196.0       177.5       210.7           253.1     293.4     360.0"
Arrears and advances                                               -33.0        16.0          0.0         0.0         0.0         0.0         0.0             0.0       0.0       0.0
"Primary balance, accrual basis                                    -310.5      -445.0       -358.3      -211.0      -366.7         6.0       219.9           268.2     329.1     392.8"
"Overall balance, accrual basis                                    -441.8      -669.9       -660.1      -598.8      -728.1      -688.3      -613.8          -716.9    -636.7    -545.1"
Structural primary balance                                        -375.2      -437.6       -290.8      -101.2      -247.1       271.3       492.9           506.7     520.1     521.4
