V1
MALTA
""
""
""
""
"                     Table 2. Malta: Fiscal Developments and Projections, 2015-2022"
"                                (Percent of GDP, unless otherwise indicated)"
""
""
                                                                                                    Projections
                                                            2015     2016     2017 Est.    2018       2019     2020      2021      2022
 Revenue                                                     40.1     39.2         39.6     38.9      38.7      38.4      38.4      38.4
   Taxes                                                     26.4     27.0         26.9     26.9      26.9      26.8      26.8      26.8
     Indirect taxes                                          12.8     12.9         12.7     12.7      12.6      12.6      12.6      12.6
     Direct taxes                                            13.4     13.9         14.1     14.1      14.1      14.0      14.0      14.0
     Other taxes (capital taxes)                              0.2      0.2          0.2      0.2       0.2       0.2       0.2       0.2
   Social contributions                                       6.4      6.4          6.4      6.3       6.3       6.3       6.3       6.3
   Grants and Capital revenue                                 3.1      0.6          1.2      1.5       1.8       2.1       2.1       2.2
   Other revenue                                              4.2      5.3          5.0      4.2       3.8       3.2       3.2       3.1
 Expenditure                                                 41.2     38.1         38.1     38.1      38.0      37.8      37.8      37.9
   Expense                                                   37.0     35.6         35.4     35.0      34.9      34.5      34.4      34.4
     Compensation of Employees                               12.0     11.9         12.1     12.0      12.0      12.0      12.0      12.0
     Use of goods and services                                6.4      6.4          6.7      6.5       6.5       6.4       6.4       6.4
     Interest                                                 2.5      2.2          1.9      1.8       1.7       1.6       1.6       1.6
     Subsidies                                                1.2      1.3          1.1      1.1       1.0       1.0       1.0       0.9
     Social benefits                                         11.2     10.9         10.6     10.5      10.4      10.2      10.2      10.2
     Other expense                                            3.7      2.8          3.0      3.1       3.3       3.3       3.3       3.3
   Net acquisition of nonfinancial assets                     4.2      2.5          2.8      3.1       3.1       3.3       3.4       3.5
 Gross Operating Balance                                      3.1      3.6          4.2      3.9       3.8       3.9       4.0       4.0
 Net lending/borrowing (overall balance)                     -1.1      1.1          1.4      0.8       0.7       0.6       0.6       0.5
 Memorandum items:
   Overall balance excl. one-offs                             -1.2      1.2         1.6       0.8       0.7       0.6       0.6       0.5
   Overall balance excl. IIP proceeds                         -1.7     -0.6        -0.7      -0.3      -0.3      -0.4      -0.4      -0.4
   Cyclically adjusted overall balance                        -2.0      0.5         0.6       0.1       0.2       0.3       0.5       0.4
   Structural balance 1/                                      -2.1      0.6         0.8       0.1       0.2       0.3       0.5       0.4
   Structural balance excl. IIP proceeds 1/                   -2.7     -1.2        -1.4      -1.0      -0.9      -0.7      -0.5      -0.5
   Cyclically adjusted primary balance                         0.5      2.7         2.6       1.9       1.9       1.9       2.0       2.0
   Structural primary balance 1/                               0.4      2.8         2.8       1.9       1.9       1.9       2.0       2.0
   Primary balance                                             1.3      3.3         3.4       2.6       2.4       2.2       2.1       2.1
   One-offs                                                    0.1     -0.1        -0.2       0.0       0.0       0.0       0.0       0.0
   Public debt                                               60.3     57.7        54.2      50.1      47.3      44.4      42.4      41.2
   Government guaranteed debt                                15.2     14.1          9.4       8.7       8.0       7.4       7.0       6.6
"   Nominal GDP (millions of euros)                          9,266    9,927      10,794    11,640    12,420    13,177    13,915    14,656"
 Sources: Maltese authorities; and IMF staff projections.
 1/ As a percentage of Nominal Potential GDP.
""
""
""
""
30   INTERNATIONAL MONETARY FUND
