V1
PANAMA
""
""
""
""
"                    Table 3. Panama: Summary Operations of the Central Government, 2017–27"
                                              (In percent of GDP)
""
                                                                                                                                                     Projections
                                                                  2017       2018         2019        2020         2021          2022       2023          2024         2025      2026       2027
     Revenues and Grants                                           14.0      13.9         12.7        12.5         12.2          14.1        14.2          14.4         14.7      14.9       15.1
      Current revenue                                              13.9      13.9         12.7        12.4         12.2          13.6        14.2          14.4         14.7      14.9       15.1
        Taxes                                                       9.2       9.2          8.2         7.4          7.1           7.8         8.4           8.7          9.0       9.3        9.5
          Direct taxes                                              4.9       5.1          4.4         4.2          3.9           4.2         4.6           4.8          4.9       5.0        5.1
             Income tax                                             4.4       4.6          4.0         3.8          3.5           3.8         4.1           4.3          4.5       4.6        4.7
             Tax on wealth                                          0.5       0.5          0.4         0.4          0.4           0.4         0.4           0.4          0.4       0.4        0.4
          Indirect taxes                                            4.3       4.1          3.8         3.2          3.2           3.5         3.8           4.0          4.1       4.2        4.3
             Import tax                                             0.6       0.5          0.5         0.4          0.4           0.5         0.5           0.5          0.5       0.5        0.5
             ITBMS                                                  2.5       2.3          2.1         1.8          1.7           1.9         2.2           2.4          2.5       2.6        2.7
             Petroleum products                                     0.4       0.4          0.4         0.4          0.4           0.4         0.4           0.4          0.4       0.4        0.4
             Other tax on domestic transactions                     0.8       0.8          0.8         0.7          0.6           0.7         0.7           0.7          0.7       0.7        0.7
        Nontax revenue                                              4.7       4.6          4.5         5.0          5.1           5.9         5.8           5.7          5.7       5.7        5.7
          Dividends                                                 2.3       2.4          2.2         2.8          2.8           3.0         3.0           2.9          2.9       2.9        2.9
             Of which : Panama Canal Authority                      1.9       1.8          1.8         2.4          2.3           2.6         2.6           2.5          2.5       2.5        2.5
          Panama Canal Authority: fees per ton 1/                   0.7       0.8          0.9         1.0          0.9           0.9         0.9           0.9          0.9       0.9        0.9
          Transfers from decentralized agencies                     0.5       0.5          0.5         0.3          0.3           0.3         0.3           0.3          0.3       0.3        0.3
         Other2/                                                    1.2        1.0          1.0         0.9          1.1           1.6         1.6          1.5          1.5       1.5         1.5
      Capital revenue                                               0.1        0.0          0.0         0.0          0.0           0.4         0.0          0.0          0.0       0.0         0.0
      Grants                                                        0.0        0.0          0.0         0.0          0.0           0.0         0.0          0.0          0.0       0.0         0.0
""
     Total Expenditure                                             17.5      17.5         17.3        22.7         18.5          17.7        17.2          16.6         16.3      16.5       16.6
        o/w COVID-19 related expenditure                                                               3.0          2.5           0.9         0.0           0.0          0.0       0.0        0.0
      Current                                                      10.9       11.0        11.5        17.1         15.0          13.3        12.4          12.1         11.8      11.6       11.6
        Wages and salaries                                          4.6        4.7         4.8         6.5          5.9           5.6         5.6           5.4          5.3       5.2        5.2
        Goods and services                                          1.4        1.2         1.3         1.6          1.5           1.4         1.4           1.3          1.3       1.3        1.3
        Current expenditure of CSS                                  0.6        0.6         0.7         0.6          1.0           0.8         0.8           0.8          0.7       0.7        0.6
        Transfers to public and private entities                    2.7        2.7         2.8         5.8          4.2           3.0         2.3           2.2          2.1       2.1        2.1
        Interest                                                    1.7        1.8         1.9         2.6          2.4           2.5         2.4           2.4          2.4       2.3        2.3
          Domestic                                                  0.4        0.3         0.4         0.5          0.5           0.4         0.3           0.3          0.3       0.3        0.3
          External                                                  1.4        1.4         1.5         2.1          2.0           2.1         2.1           2.1          2.1       2.0        2.0
      Capital                                                       6.1        5.8         5.8         5.6          3.6           4.4         4.8           4.5          4.5       4.8        5.1
      Accrued spending 3/                                           0.4        0.8          0.0         0.0          0.0           0.0         0.0          0.0          0.0       0.0         0.0
     Savings 4/                                                     3.0        2.9          1.2        -4.7         -2.7           0.3         1.8          2.3          2.9       3.3         3.5
                        5/
     Overall Balance                                               -3.6       -3.7        -4.6       -10.3         -6.3          -3.7        -3.1          -2.2         -1.6      -1.6       -1.5
     Financing (net) 6/                                             4.6        4.3          3.0         9.6          5.0           3.7         3.1          2.2          1.6       1.6         1.5
       External                                                     2.4        3.3          5.4        10.3          4.8           4.1         3.4          2.7          2.3       2.5         2.1
              Of which : Multilateral lenders                       1.5        1.4          1.2         4.6          2.0           1.3         1.0          1.0          0.9       0.8         0.8
              Of which : Private creditors                          2.4        2.7          4.9         8.8          5.0           3.5         3.5          3.7          3.7       3.5         3.1
              Of which : Other lenders                             -1.5       -0.7         -0.7        -3.1         -2.2          -0.7        -1.1         -2.1         -2.3      -1.8        -1.7
      Domestic                                                      2.2        0.9         -2.4        -0.7          0.2          -0.5        -0.3         -0.4         -0.6      -0.9        -0.6
           Of which: Net credit from banks                          1.1        0.4         -2.2        -3.3          2.2           0.4         0.1          0.1          0.0      -0.3         2.5
           Of which: Net credit from non-banks                      0.8       -0.3          1.6        -0.1         -2.2          -0.8        -0.2         -0.2         -0.1       0.0        -2.3
           Of which: Other lenders                                  0.3        0.8         -1.8         2.7          0.2           0.0        -0.3         -0.4         -0.6
                                                                                                                                                                         0.0      -0.7
                                                                                                                                                                                   0.0        -0.7
                                                                                                                                                                                               0.0
     Memorandum Items:
      Primary balance                                               -1.8      -1.9        -2.7         -7.6         -3.9          -1.2        -0.7           0.2          0.8       0.8        0.8
"      GDP (in millions of US$)                                   62,203    64,929      66,984       53,977       63,605        70,579      76,620        82,440       88,294    94,562    101,276"
""
      Sources: Comptroller General; Ministry of Economy and Finance; and IMF staff calculations.
      1/ Includes public service fees.
"      2/ Includes in 2021 a debt premium by US$241 million as per GFSM 1986, the reporting system followed by the authorities."
      3/ Staff adjustment to account for the accrual of previously unrecorded expenditure for 2014-19. These estimates are preliminary.
      4/ Current revenues and grants less current expenditure.
"      5/ For 2015 - 2017, includes spending allowed under Article 34 of Law 38 of 2012."
"      6/ Includes staff adjustment for net financing through the change in obligations related to unrecorded expenditure for 2015-2019. For 2019, also accounts for"
      deposits accumulated in pre-financing operations.
""
""
""
""
26       INTERNATIONAL MONETARY FUND
