V1
RWANDA
""
""
""
" Table 3b. Rwanda: Financial Operations of the Budgetary Central Government, GFSM 20141"
                                                                         (Percent of GDP)
""
                                                                                2015/16     2016/17    2017/18    2018/19    2019/20
""
                                                                                    Act.      Prov.       Proj.      Proj.      Proj.
""
 Revenue                                                                            23.8       22.4       21.6       21.0       21.2
 Taxes                                                                              15.0       14.1       14.5       14.4       14.7
"    Taxes on income, profits, and capital gains                                      6.5        5.7        5.9        6.0        6.2"
    Taxes on property                                                                0.0        0.0        0.0        0.0        0.0
    Taxes on goods and services                                                      7.0        7.2        7.2        7.2        7.3
    Taxes on international trade and transactions                                    1.5        1.1        1.4        1.2        1.2
 Social contributions                                                                0.0        0.0        0.0        0.0        0.0
 Grants                                                                              5.9        4.6        4.5        4.3        4.2
    Current                                                                          3.2        2.6        2.3        2.1        2.0
    Capital                                                                          2.7        2.0        2.2        2.2        2.2
 Other revenue                                                                       2.8
                                                                                     0.0        3.8
                                                                                                0.0        2.6
                                                                                                           0.0        2.3
                                                                                                                      0.0        2.3
                                                                                                                                 0.0
 Expense                                                                            17.5       17.9       17.7       17.4       17.2
    Compensation of employees                                                        3.4        3.3        2.7        2.6        2.6
    Use of goods and services                                                        5.2        6.0        4.8        4.8        5.1
    Interest                                                                         0.9        1.0        1.2        1.2        1.1
        To nonresidents                                                              0.5        0.5        0.5        0.5        0.5
        To residents other than general government                                   0.4        0.5        0.7        0.7        0.7
    Subsidies                                                                        1.3        1.2        2.3        2.3        1.9
    Grants                                                                           5.1        4.8        5.3        5.1        5.1
      To EBUs                                                                        0.7        0.6        0.6        0.6        0.6
      To Local Government                                                            4.5        4.2        4.7        4.6        4.5
    Social benefits                                                                  0.4        0.3        0.3        0.3        0.3
    Other expense                                                                    1.1        1.2        1.1        1.1        1.1
 Net Operating Balance                                                               0.0         0.0        0.0        0.0        0.0
   including grants                                                                  6.2         4.5        4.0        3.6        3.9
   excluding grants                                                                  0.3        -0.1       -0.6       -0.7       -0.3
""
 Net acquisition of nonfinancial assets                                              9.8        8.9        7.9        8.0        8.1
   Foreign financed                                                                  4.3         --        3.9        4.2        4.5
   Domestically financed                                                             5.5         --        4.0        3.8        3.7
""
 Net lending (+) / borrowing (-)
    including grants                                                                -3.5       -4.4       -3.9       -4.4       -4.2
    excluding grants
 check                                                                              -9.4       -9.0       -8.4       -8.7       -8.4
 Net acquisition of financial assets                                                  1.3        0.5      -0.1       -1.0       -0.9
     Currency and deposits                                                            0.5        0.1      -0.3       -1.0       -0.9
     Equity and investment fund shares                                                0.0        0.0       0.1        0.0        0.0
     Loans                                                                            0.8        0.4       0.1        0.0        0.0
 Net incurrence of liabilities                                                        5.1        5.1       3.8        3.4        3.3
     Currency and deposits                                                            0.0        0.0       0.0        0.0        0.0
     Debt securities                                                                  1.5        0.8       0.5        0.5        0.4
     Loans                                                                            3.3        4.2       3.7        3.2        3.1
     Other accounts payable                                                           0.3        0.1      -0.3       -0.3       -0.3
 Statistical discrepancy                                                             -0.3       -0.2       0.0        0.0        0.0
 Memorandum items:
 Domestic revenue (incl. Local government)                                           18.5       18.5       18.1       17.8       18.0
 Wage bill                                                                            6.2        5.8        5.3        5.3        5.4
 Overall fiscal balance (commitment basis)                                           -4.3       -4.8       -4.2       -4.4       -4.2
 Net domestic financing (excl. policy lending)                                         --         --       -0.3       -1.0       -0.9
" GDP (Billions of RwF), FY basis                                                  6,321.0    7,125.0    7,813.1    8,749.6    9,878.5"
""
     Sources: Rwandan authorities and IMF staff estimates and projections.
     1
         Fiscal year runs from July to June.
""
""
""
""
24         INTERNATIONAL MONETARY FUND
