V1
                                                                                                                               GRENADA
""
""
""
"                  Table 2b. Grenada: Operations of the Central Government, 2014–2024"
                                           (In percent of GDP)
                                                 2014    2015    2016    2017    2018    2019    2019    2020   2021   2022   2023   2024
                                                                                        Budget   Proj.
""
Total revenue and grants                          24.5    24.5    26.2    25.6   26.5    28.8    25.6    25.5   25.3   25.3   25.1    24.8
Revenue                                           20.4    21.2    22.7    23.0   23.6    23.3    23.1    23.1   23.1   23.1   23.0    23.0
 Tax revenue                                      18.2    19.0    20.9    21.4   22.0    21.7    21.5    21.5   21.4   21.4   21.4    21.4
   Taxes on income and profits                     3.7     3.8     4.4     4.6    4.8     4.7     4.6     4.6    4.6    4.6    4.6     4.6
   Taxes on property                               0.9     0.9     0.8     0.8    0.9     0.8     0.7     0.7    0.7    0.7    0.7     0.7
   Taxes on goods and services                     7.9     8.0     8.5     8.7    8.6     8.6     8.6     8.6    8.6    8.6    8.6     8.6
   Taxes on international trade                    5.8     6.4     7.1     7.3    7.6     7.6     7.6     7.6    7.5    7.5    7.5     7.5
 Nontax revenue                                    2.2     2.2     1.8     1.6    1.6     1.6     1.6     1.6    1.6    1.6    1.6     1.6
Grants                                             4.1     3.2     3.5     2.6    2.9     5.5     2.4     2.4    2.3    2.2    2.1     1.8
Total expenditure and net lending 1/              29.2    25.7    23.9    22.6   21.7    24.9    21.5    20.9   20.5   22.4   24.2    26.3
Current expenditure                               19.9    17.3    19.7    19.9   19.0    19.0    18.6    18.4   18.1   18.4   18.8    19.1
 Wages and salaries                                9.9     8.0     8.4     8.1    7.9     8.2     7.8     7.8    7.7    7.9    8.1     8.3
 NIS contributions                                 0.5     0.4     0.4     0.6    0.4     0.4     0.4     0.4    0.4    0.4    0.4     0.4
 Goods and services                                2.9     2.8     4.1     4.2    4.1     3.7     3.9     3.9    3.7    3.8    4.0     4.2
 Transfers                                         3.2     2.8     4.0     4.4    4.7     4.5     4.5     4.5    4.5    4.5    4.6     4.8
   Transfers Abroad (Contributions)                0.5     0.5     0.5     0.7    0.6      …       …       …      …      …      …       …
   Grants & Subventions (other private sector)     1.0     0.9     1.4     1.6    1.8      …       …       …      …      …      …       …
   Public Assistance                               0.0     0.0     0.6     0.7    0.7      …       …       …      …      …      …       …
   Pensions and Gratuities                         1.6     1.4     1.4     1.4    1.6      …      1.5     1.5    1.5    1.5    1.6     1.6
 Interest payments                                 3.5     3.3     2.9     2.7    2.0     2.1     2.1     1.9    1.8    1.7    1.6     1.5
Capital expenditure and net lending                9.2     8.3     4.2     2.6    2.7      5.9    2.8     2.5    2.4    4.0    5.4     7.1
 Grant-financed                                    3.7     3.2     2.6     2.1    2.3      5.3    2.3     2.2    2.1    2.1    2.0     1.7
 Non-grant financed                                5.5     5.1     1.6     0.5    0.4      0.5    0.6     0.3    0.2    2.0    3.4     5.4
Primary balance 2/                                -1.1     2.1     5.2     5.7    6.8      6.0    6.2     6.5    6.6    4.5    2.5     0.0
Overall balance                                   -4.7    -1.2     2.3     3.0    4.8      3.9    4.1     4.6    4.8    2.8    0.9    -1.4
""
Public Debt                                      101.8    90.1    81.6    70.0   63.4    59.2    58.7    53.7   50.6   48.3   44.9    44.2
Memo item:
"Nominal GDP (EC$ millions)                             2,461 2,692 2,866 3,043 3,202 3,352 3,352 3,508 3,677 3,873 4,080             4,289"
Sources: Country authorities and Fund staff estimates.
1/ The Chart of Accounts for expenditure classification was revised in 2016 from GFSM 1986 format to GFSM 2014 format.
2/ The primary balances include non-tax revenue from the Citizenship by Investment program.
""
""
""
""
                                                                                          INTERNATIONAL MONETARY FUND                   31
