V1
MALI
"Table 2a. Mali: Consolidated Fiscal Transactions of the Government, 2017-25"
(Billions of CFAF)
201F            2018                         2019                                   20240                                   201                         2022            2023            2024            2025
"tt est,               1S Proj.                  1st Proj.                                    Projections"
Review                         Review                         Review
"Revenue and grants                                       1,790         1.476           2,235         2,173           2,501         2,182           2,660         2,356           2,458         2,636         2,843         3,035"
"Total revenue                                                            1,646           1,359              1,994           1,982              2,234            1,869              2,424           2,138              2,711            2,385           2.567           2.763"
"Budgetary revenue                                     1,480         1,182            1,598         1571            1,837         1472            1,997         1718            1,753         1,899         2,046         2,206"
"lax revenue                                             1,354         1.126            1494         1.496            1,694         1,389            1,840         1,521            1,668         1,802         1,941         2,092"
Direct taxes.                                       419          340            454          Af?            525          444            561          Afb            521          5h          611          662
"Indirect taxes                                          934           786            1,040         1,024            1,169           945            1,259         1,045            1747         1,435         1,330         1.430"
VAT                                                                 Red              415                 605              B51                  663              468                 718              543                 538              648              698              T52
Excises on petroleurn products              as             38               f4            53               65            43               66            50               S7            62            68             i4
Import duties                                       180           150              164           190              205           180              220           205              ee           245           262           281
Other indirect taxes                              235           198              269           300              314           311              339           329              354           378           404           433
Tax refund                                   -6o         -65           -f2         -63           -78         -fé           -83         -82           -8o         -95        -102        -109
Nontax revenue                                         126             56              103             F5              143             83              157           197                90             oF            105            114
Special funds and annexed budqets             166          VF?            397          411             397          397            426          420            454          486          521          558
(orants                                                                          144              117                 241              131                  26F              314                 236              219                 246              250              276              oe
Projects grants                                            81             68              147             79              156           163              120             80              105           114            124           114
Budgetary support                                      63             49               94           112              111            150              116           139              141            136            152            158
Of which: General                                           49                43                   83              104                  103              139                 107              130                 141              176              141              147
Of which: Sectoral                                          14                  6                   11                   8                     9                11                      9                  |                    10                11                 11                 11
"Total expenditure and net lending®              7,045         1,526           2,551         2,244           2,883         2,829           3,041         2,687           2,815        3,079         5,253         3,475"
"Budgetary expenditure                               1,890         1755           2,144         1,939           2,492         2,438           2,615         2,268           2,362         2,533         2,732         2,917"
"Current expenditure                                 1,105         1,141            1,318         1,281            1.479         1,629            1,586         1,519            1,657         1,786         1,918         2.054"
Wages and salaries                                      433             A71                S76             S17                636             641                684             644                FO              751             B04.             861
Goods and services                             298          2f2            300          293            361          394            388          368            398          426          456          489
Transfers and subsidies                        300          313            4342          366            361          AT3            388          360            389          417          446          ATA
Interest                                                    f4             od              101            104              120           120              126           143              169           192           ele           eae
"Capital expenditure                                         f85             615               826             656             1,013             809             1,029             49                FOS             fai             o14             863"
Externally financed                                  253            147              247           192              359           369              338           279              278           299           320           325
Damestically financed                                    531              468                 579              466                 655              440                 691              469                 428              449              494              538
Special funds and annexed budgets           166         177           397         411           397         397           426         420           454         486         521         558
Net lending                                        -10           -F           -10           -6             -6           -6              0            0              0            0            0           0
Overall fiscal balance (excl. grants)                 -399        -S67          -537        -362          -649        -460          -618        -450          -604        -634        -686        -F12
Overall fiscal balance (incl. grants)                   255         450          296         171           ~382         646          -361         331           358         383         410         440
Adjustment to cash basis                                    23             &1               -T1            -90              -14             12               10              &                11             11             11             12
"Overall balance (cash basis, incl. grants)            232         368          -367         261           =396         634          =372         323           347         373         399         428"
Financing                                                         232           368              367           261              396           634              372           323              347           373           399           428
External financing (net)                                        145             44              283            $04              135           139              169           182                49             59             68           170
Loans                                                           206             oF              364           aff              243           252              259           ere              el2           224           236           £53
Project loans                                           157             T4                a9           105              194            134              209           150              162           174            186           139
Budgetary loans                               50          23           275         271             54          58            50         122            So          50          50          54
Amortization                                                             fo                fe                  -99                91                “122              122                  -99                99                 163              164              168              133
Debt relief                                                     18             19                18             18                 9               9                 9               9                 Oo               0               0              Oo
Variation of External Arrears (Principal)           ia]           0             0           0             0           oO             0           a)             oO           o           0           0
Domestic financing (net)                               fit]         324            a4         -43           261         198           203         142           298         313         331         308
Banking system                                                     161             184                140             194                137             162                179             115                263             25             285             esF
Central bank                                        57          4?            -25        -224             70         120            20          20            25           -6           =5         -34
Of which: IMF (net)                                         9              58                -14                ff                 20              25                 20              20                 25               -6               -5             -~34
Commercial banks                                 29         211           lf2          30            67          42           159          96           233         282         289         291
Adjustment?                                                  60             69                 i              fy)                 i)              i                 Oo               0                 Oo               a               0              oO
Privatization receipts                                        -10             -8              -20            -14                30)             30                 0               0                 0               0               0              oO
Other financing                                                 3            149               36           165               9s               &                24             26                35             38             46             50
Financing qap                                            0           0              0           0              ie)        -798              is)            0              is)            0            is)           0
Memorandum items:
"Nominal GDP                                                            6,522           9.426            10,214         10,7154             10,895         10.427            11,732         11,030             11,429         12.776         13,683         14,654"
Sources: Ministry of Economy and Finance; and IMF staff estimates and projections.
"‘IMF Country Report No. 20/8, Mali: First Review Under the Extended Credit Facility Arrangement."
* Commitment basis
* Adjustment to account for the difference between the definitions of the government in the fiscal table and the monetary situation.
14      INTERNATIONAL MONETARY FUND
