V1
JORDAN
""
""
""
"              Table 2b. Jordan: Central Government: Summary of Fiscal Operations, 2018–25   "
                                             (In percent of GDP)
""
                                                                   Act.      Prel.     EFF       Proj.     EFF       Proj.     EFF       Proj.     EFF       Proj.     EFF       Proj.     EFF       Proj.
                                                                   2018      2019      2020       2020      2021      2021      2022     2022      2023      2023      2024      2024      2025      2025
""
 Total revenue and grants                                            25.7      24.3      27.0      23.8      26.0      24.6      25.5      24.7      24.5      23.7      24.3      23.6      24.0      23.4
  Domestic revenue                                                   22.8      21.8      23.8      20.4      23.8      22.1      23.7      22.5      23.5      22.6      23.3      22.6      23.1      22.4
"    Tax revenue, of which :                                          15.5      15.3      17.5      16.0      17.5      16.7      17.3      16.9      17.2      17.0      17.0      17.0      16.8      16.8"
      Taxes on income and profits                                     3.2       3.2       3.9       3.6       3.9       3.5       3.9       3.5       3.9       3.6       3.9       3.7       3.9       3.7
      Sales taxes 2/                                                 10.4      10.5      12.5      11.3      12.6      12.0      12.4      12.2      12.3      12.2      12.2      12.1      12.0      12.0
      Taxes on foreign trade                                          1.0       0.9       0.8       0.9       0.8       1.0       0.8       0.9       0.7       0.9       0.7       0.9       0.7       0.9
    Nontax revenue 2/                                                 7.3       6.5       6.3       4.4       6.3       5.4       6.3       5.6       6.3       5.6       6.3       5.6       6.3       5.6
  Grants                                                              2.9       2.5       3.2       3.5       2.2       2.5       1.9       2.2       1.0       1.1       1.0       1.0       0.9       0.9
""
""
" Total expenditures, inc. other use of cash                          29.3      29.2      30.0      30.5      30.0      30.8      29.9      30.9      29.6      30.6      29.3      30.1      29.1      29.6"
     Current expenditure                                             25.0      25.0      26.1      27.2      26.0      27.5      25.9      27.0      25.6      26.6      25.3      26.2      25.1      25.7
        Wages and salaries                                            4.7       4.9       5.3       4.8       5.2       5.3       5.0       5.2       4.9       5.0       4.7       4.9       4.6       4.6
        Interest payments                                             3.3       3.6       3.9       4.2       4.0       4.3       4.0       4.2       4.0       4.2       4.0       4.2       4.0       4.2
          Domestic                                                    2.1       2.3       2.6       2.8       2.5       2.7       2.6       2.7       2.7       2.7       2.8       2.9       2.8       2.9
          External                                                    1.2       1.3       1.3       1.3       1.4       1.6       1.4       1.5       1.3       1.4       1.2       1.3       1.2       1.2
"        Military and public security expenditure, of which:           8.1       8.1       8.3       8.8       8.3       8.6       8.3       8.5       8.3       8.5       8.3       8.5       8.3       8.4"
          Military expenditure                                        4.5       4.2       4.5       4.7       4.5       4.5       4.5       4.5       4.5       4.5       4.5       4.5       4.5       4.5
        Subsidies                                                     0.2       0.1       0.1       0.1       0.1       0.1       0.1       0.1       0.1       0.1       0.1       0.1       0.1       0.1
"        Transfers, of which :                                         7.8       7.4       7.4       8.3       7.4       8.2       7.3       7.9       7.2       7.7       7.0       7.5       7.0       7.3"
            Pensions                                                  4.4       4.5       4.9       5.2       4.9       5.2       4.9       5.2       4.9       5.2       4.9       5.2       4.9       5.2
            Cash transfers                                            0.5       0.4       0.3       0.6       0.3       0.5       0.3       0.5       0.3       0.5       0.3       0.4       0.3       0.4
"            Transfers to health fund, of which:                       0.7       0.6       0.5       0.6       0.4       0.4       0.3       0.4       0.2       0.4       0.2       0.3       0.2       0.2"
                Health arrears clearance                              0.4       0.3       0.2       0.2       0.1       0.1       0.0       0.1       0.0       0.1       0.0       0.0       0.0       0.0
            Energy arrears clearance                                  0.2       0.2       0.0       0.0       0.1       0.4       0.2       0.3       0.2       0.2       0.0       0.0       0.0       0.0
            Transfers to public sector institutions                   1.0       0.6       0.7       1.0       0.7       0.6       0.7       0.5       0.7       0.5       0.7       0.5       0.7       0.5
            Other transfers                                           1.0       0.9       0.9       0.9       0.9       1.0       0.9       1.0       0.9       1.0       0.9       1.0       0.9       1.0
        Purchases of goods & services                                 1.0       1.0       1.1       1.1       1.1       1.0       1.1       1.1       1.1       1.1       1.1       1.1       1.1       1.1
     Capital expenditure                                              3.1       3.1       3.9       3.1       4.0       3.4       4.0       3.9       4.0       3.9       4.0       3.9       4.0       3.9
     Adjustment on receivables and payables (use of cash)             1.2       1.0       0.0       0.2       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
""
""
     Total balance from above the line                               -3.6      -4.9      -3.0      -6.7      -4.0      -6.2      -4.3      -6.2      -5.1      -6.9      -5.0      -6.5      -5.0      -6.2
"     Statistical discrepancy, net                                     0.3       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0"
     Overall balance at current policies                             -3.3      -4.9      -3.0      -6.7      -4.0      -6.2      -4.3      -6.2      -5.1      -6.9      -5.0      -6.5      -5.0      -6.2
     Discretionary fiscal measures (cumulative) 3/                    0.0       0.0       0.0       0.0       0.6       0.7       1.2       1.8       1.8       2.9       2.4       3.9       2.4       4.2
 Overall balance after fiscal measures                               -3.3      -4.9      -3.0      -6.7      -3.4      -5.5      -3.1      -4.4      -3.3      -4.0      -2.6      -2.6      -2.6      -2.1
" Advances to water sector, of which:                                  1.4       1.6       1.6       1.4       1.1       1.3       1.0       1.2       0.7       0.8       0.8       0.9       0.7       0.8"
  Distribution companies                                                        0.0       0.1       0.5       0.1       0.2       0.1       0.2       0.1       0.2       0.1       0.1       0.1       0.1
""
 Financing                                                            4.7       6.5       4.6       8.1       4.5       6.8       4.2       5.6       4.0       4.8       3.4       3.5       3.4       2.8
   Foreign financing (net) 4/                                         1.9       0.6       4.2       3.4       2.1       3.4       0.8       1.5       0.5       0.7      -0.1       0.5      -0.3      -0.1
   Domestic financing (net)                                           2.7       5.9       0.4       4.6       2.4       3.3       3.3       4.1       3.6       4.0       3.5       3.0       3.7       3.0
      CBJ on-lending of net IMF financing                            -1.1      -0.9       0.2       1.1       0.6       0.9       0.6       0.7       0.5       0.2       0.2      -0.2      -0.1      -0.3
      Other domestic bank financing                                   1.0       3.5      -1.3       0.5       0.3      -0.4       1.3       0.6       1.5       1.1       1.7       0.6       2.3       0.6
      Domestic nonbank financing                                      1.6       2.8       1.5       2.6       1.5       2.8       1.5       2.8       1.5       2.8       1.5       2.7       1.5       2.7
      Use of deposits                                                 1.2       0.4       0.0       0.5       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
      Sale of non-financial assets                                    0.0       0.2       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0       0.0
""
 Memorandum items:
 NEPCO operating balance                                             -0.3       0.0      -0.5      -0.2      -0.6      -0.9      -0.5      -1.1      -0.4      -1.0      -0.4      -0.9      -0.4      -0.8
" WAJ overall balance, excluding project grants                       -0.9      -0.9      -1.1      -1.1      -0.8      -0.9      -0.8      -0.9      -0.8      -0.8      -0.7      -0.8      -0.7      -0.7"
 Water distribution companies overall balance                  …      0.0      -0.3      -0.1      -0.5      -0.1      -0.2      -0.1      -0.2      -0.1      -0.2      -0.1      -0.1      -0.1      -0.1
" Primary government balance, excluding grants and transfers to"
 NEPCO and WAJ (PC)                                                   -2.9      -3.7     -2.3       -6.0     -1.6       -3.7     -1.0       -2.4     -0.3       -0.9      0.4        0.5      0.4        1.2
