V1
REPUBLIC OF SAN MARINO
""
""
""
" Table 2a. San Marino: Statement of Operations for Budgetary Central Government, 2017–25"
                                     (Millions of euros)
                                                                                                                                                    Proj.
                                                                                              2017           2018     2019     2020     2021     2022        2023     2024     2025
 Revenue                                                                                      302.1          321.7    309.6    295.1    297.1    305.2       313.3    319.8    326.2
     Taxes                                                                                    215.4          239.0    222.2    228.4    228.8    235.5       242.1    247.1    252.0
          Income Taxes                                                                        112.8          126.8    117.5    119.7    117.3    119.9       122.5    125.0    127.4
          Non-income taxes                                                                    102.6          112.1    104.7    108.7    111.5    115.5       119.6    122.1    124.6
             Taxes on international trade                                                      66.3           56.7     64.8     68.0     69.9     73.0        76.2     77.9     79.4
             Other taxes                                                                       36.3           55.5     39.9     40.7     41.6     42.5        43.4     44.3     45.2
     Non-tax revenue                                                                           86.6           82.7     87.5     66.7     68.2     69.8        71.2     72.7     74.1
 Expenditure                                                                                  347.7          343.5    345.1    368.7    376.2    383.3       395.1    402.3    409.1
   Current Expenditure                                                                        345.5          340.9    324.9    365.7    373.1    380.2       391.9    399.0    405.8
     Compensation of employees                                                                 94.8           92.8     95.0     96.8     99.0    101.2       103.4    105.5    107.6
     Use of goods and services                                                                 26.1           23.0     25.9     26.4     27.0     27.6        28.1     28.7     29.3
     Interest                                                                                   4.0            4.5      5.6      7.1     10.0     11.9        13.6     15.9     17.8
     Transfers                                                                                217.4          217.4    194.1    231.1    232.9    235.1       242.3    244.4    246.5
          To other general government units                                                   148.7          154.9    139.7    177.4    181.2    185.0       193.7    197.3    200.9
          To the banking sector                                                                40.0           44.1     33.5     31.5     29.5     27.5        25.5     23.5     21.5
          To other private sector entities                                                     28.8           18.4     20.9     22.3     22.2     22.7        23.2     23.6     24.1
     Other expenses (including subsidies)                                                       3.2            3.1      4.2      4.3      4.3      4.4         4.4      4.5      4.6
   Net acquisition of non-financial assets                                                      2.2            2.6     20.3      3.0      3.1      3.1         3.2      3.3      3.3
 Overall Balance                                                                              -45.7          -21.8    -35.5    -73.6    -79.1    -78.1       -81.8    -82.5    -83.0
 Memorandum items
 Pension Funds Balance (net of gov. transfers)                                               -35.9        -43.9          …        …        …        …           …        …        …
 Primary Balance                                                                             -41.7        -17.3       -29.9    -66.5    -69.1    -66.2       -68.2    -66.6    -65.2
 Primary Balance net of bank support                                                          -1.7         26.9         3.6    -35.0    -39.6    -38.7       -42.7    -43.1    -43.7
 Public debt (official)                                                                      351.1        425.0       458.0    501.9    581.1    659.7       742.3    826.0    910.6
 Implicit public debt /1                                                                    1037.1       1104.1      1226.5   1266.2   1325.1   1383.5      1445.5   1508.9   1573.0
 Nominal GDP (in millions of euros)                                                         1353.1       1401.7      1430.3   1457.6   1490.9   1523.8      1556.1   1587.8   1619.4
 Sources: Sammarinese authorities; and IMF staff.
" 1/ Official public debt plus tax credits, CRSM legacy losses, and commitments related to BCIS resolution."
""
""
""
""
" Table 2b. San Marino: Statement of Operations for Budgetary Central Government, 2017–25"
                                      (Percent of GDP)
                                                                                                                                                    Proj.
                                                                                             2017            2018     2019     2020     2021     2022        2023     2024     2025
 Revenue                                                                                      22.3            23.0     21.6     20.2     19.9     20.0        20.1     20.1     20.1
     Taxes                                                                                    15.9            17.0     15.5     15.7     15.3     15.5        15.6     15.6     15.6
     Income Taxes                                                                              8.3             9.0      8.2      8.2      7.9      7.9         7.9      7.9      7.9
     Non-income taxes                                                                          7.6             8.0      7.3      7.5      7.5      7.6         7.7      7.7      7.7
          Taxes on international trade and transactions                                        4.9             4.0      4.5      4.7      4.7      4.8         4.9      4.9      4.9
          Other taxes                                                                          2.7             4.0      2.8      2.8      2.8      2.8         2.8      2.8      2.8
     Non-tax revenue                                                                           6.4             5.9      6.1      4.6      4.6      4.6         4.6      4.6      4.6
 Expenditure                                                                                  25.7            24.5     24.1     25.3     25.2     25.2        25.4     25.3     25.3
   Current Expenditure                                                                        25.5            24.3     22.7     25.1     25.0     25.0        25.2     25.1     25.1
     Compensation of employees                                                                 7.0             6.6      6.6      6.6      6.6      6.6         6.6      6.6      6.6
     Use of goods and services                                                                 1.9             1.6      1.8      1.8      1.8      1.8         1.8      1.8      1.8
      Interest                                                                                 0.3             0.3      0.4      0.5      0.7      0.8         0.9      1.0      1.1
     Transfers                                                                                16.1            15.5     13.6     15.9     15.6     15.4        15.6     15.4     15.2
          To other general government units                                                   11.0            11.1      9.8     12.2     12.2     12.1        12.4     12.4     12.4
          To the banking sector                                                                3.0             3.1      2.3      2.2      2.0      1.8         1.6      1.5      1.3
          To other private sector entities                                                     2.1             1.3      1.5      1.5      1.5      1.5         1.5      1.5      1.5
     Other expenses (including subsidies)                                                      0.2             0.2      0.3      0.3      0.3      0.3         0.3      0.3      0.3
   Net acquisition of non-financial assets                                                     0.2             0.2      1.4      0.2      0.2      0.2         0.2      0.2      0.2
 Overall Balance                                                                              -3.4            -1.6     -2.5     -5.0     -5.3     -5.1        -5.3     -5.2     -5.1
 Memorandum items
 Pension Funds Balance (net of gov. transfers)                                                -2.7         -3.1          …        …        …        …           …        …        …
 Primary Balance                                                                              -3.1         -1.2        -2.1     -4.6     -4.6     -4.3        -4.4     -4.2     -4.0
 Primary Balance net of bank support                                                          -0.1          1.9         0.3     -2.4     -2.7     -2.5        -2.7     -2.7     -2.7
 Public debt (official)                                                                       25.9         30.3        32.0     34.4     39.0     43.3        47.7     52.0     56.2
 Implicit public debt /1                                                                      76.6         78.8        85.8     86.9     88.9     90.8        92.9     95.0     97.1
 Nominal GDP (in millions of euros)                                                         1353.1       1401.7      1430.3   1457.6   1490.9   1523.8      1556.1   1587.8   1619.4
 Sources: Sammarinese authorities; and IMF staff.
