V1
                                                                                                                                                                                            BOLIVIA
""
""
""
                                    Table 2. Bolivia: Operations of the Combined Public Sector 1/
"                                                     (In percentage of GDP, unless otherwise indicated)"
                                                                                                                                                      Baseline projections
                                                                                  2017           2018           2019           2020        2021           2022           2023       2024       2025
Revenue                                                                            30.8           29.0           28.1           27.3        26.2          26.4           26.5       26.5        26.5
  Taxes                                                                            24.0           23.8           21.9           21.3        20.6           20.6              20.7    20.7       20.6
    IDH and royalties                                                               3.8            4.3            3.5            2.8            2.0         2.1               2.1     2.2        2.2
    Indirect taxes                                                                 15.8           15.1           14.1           14.1        14.2           14.2              14.2    14.2       14.1
       o/w: VAT                                                                     7.8            7.5            7.0            7.0            7.1         7.2               7.2     7.2        7.2
       o/w: Excise tax on fuel                                                      1.2            1.1            0.9            0.9            0.9         0.9               0.9     0.9        0.9
  Grants                                                                            0.1            0.2            0.1            0.1            0.1         0.1               0.1     0.1        0.1
  Other revenue                                                                     6.7            5.0            6.1            5.9            5.4         5.6               5.7     5.7        5.8
    Nontax revenue                                                                  5.2            4.1            4.3            4.4            4.4         4.4               4.4     4.5        4.5
    Public enterprises operating balance                                            1.0            0.4            1.2            0.9            0.5         0.6               0.8     0.8        0.9
    Central bank operating balance                                                  0.4            0.4            0.6            0.6            0.5         0.5               0.5     0.4        0.4
Expenditure                                                                        38.6           37.1           35.1           34.7        33.1          32.4           31.7       31.0        30.4
  Expense                                                                          25.0           26.1           25.6           27.3        26.0          25.7           25.3       25.0        24.7
    Compensation of employees                                                      11.7           12.6           12.1           12.7        12.3           11.9              11.5    11.2       10.9
    Purchases of goods and services                                                 3.8            3.9            3.7            4.0            3.6         3.5               3.5     3.5        3.5
    Interest                                                                        1.1            1.2            1.3            1.5            1.6         1.7               1.8     1.8        1.9
      Domestic                                                                      0.4            0.4            0.5            0.5            0.6         0.7               0.8     0.9        1.0
      Foreign                                                                       0.7            0.8            0.9            1.0            1.0         1.0               0.9     0.9        0.9
    Energy-related subsidies to SOEs 2/                                             0.8            0.6            1.4            1.3            1.2         1.2               1.3     1.3        1.3
    Social benefits 3/                                                              7.2            6.9            5.9            6.8            6.4         6.3               6.3     6.2        6.2
    Other expense                                                                   0.4            0.8            1.1            1.1            1.0         1.0               1.0     1.0        1.0
  Net acquisition of nonfinancial assets 4/                                        13.6           11.0            9.6            7.3            7.1         6.7              6.3     6.0         5.7
    o/w: Public Enterprises                                                         4.4            3.1            2.1            1.0            1.0         1.0               0.9     0.9        0.9
Gross operating balance                                                             5.8            2.9            2.5            0.0            0.2         0.7              1.2     1.5         1.8
Net lending/borrowing (overall balance)                                            -7.8           -8.1           -7.0           -7.3        -6.9           -6.0              -5.2    -4.5       -3.9
Net financial transactions                                                         -7.8           -8.1           -7.0           -7.3        -6.9           -6.0              -5.2    -4.5       -3.9
  Net incurrence of liabilities                                                     7.8            8.1            7.0            7.3            6.9         6.0              5.2     4.5         3.9
    External                                                                        5.6            1.9            2.6            0.7            2.2         1.9               1.8     1.7        1.7
      Disbursements                                                                 6.3            2.9            3.6            3.6            3.6         3.3               3.3     3.4        3.3
      Amortizations                                                                -0.9           -0.9           -1.0           -1.3        -1.4           -1.4              -1.5    -1.7       -1.6
      Other external                                                                0.2           -0.1            0.0            0.0            0.0         0.0               0.0     0.0        0.0
    Domestic                                                                        2.2            6.3            4.4            5.0            4.7         4.1               3.4     2.8        2.3
      Banking system                                                                2.8            4.3            3.8            4.8            4.9         4.5               3.6     3.0        2.4
          Central Bank                                                              2.8            4.3            3.3            4.6            4.9         4.5               3.6     3.0        2.4
