pdf,table_pages,table_names
"pdfs/Afghanistan, Islamic Republic of/2018/cr18127.pdf",29,"Table_3a._Islamic_Republic_of_Afghanistan:_Central_Government_Budget,_2015–23_(In_billions_of_Afghanis)"
"pdfs/Afghanistan, Islamic Republic of/2018/cr18127.pdf",30,"Table_3b._Islamic_Republic_of_Afghanistan:_Central_Government_Budget,_2015–23_(In_percent_of_GDP)"
"pdfs/Afghanistan, Islamic Republic of/2019/1AFGEA2019001.pdf",30,"Table_3a._Islamic_Republic_of_Afghanistan:_Central_Government_Budget,_2016–24_(In_billions_of_Afghanis)"
"pdfs/Afghanistan, Islamic Republic of/2019/1AFGEA2019001.pdf",31,"Table_3b._Islamic_Republic_of_Afghanistan:_Central_Government_Budget,_2016–24_(In_percent_of_GDP)"
"pdfs/Afghanistan, Islamic Republic of/2019/1AFGEA2019003.pdf",43,"Table_4a._Islamic_Republic_of_Afghanistan:_Central_Government_Budget,_2016–24_(In_billions_of_Afghanis)"
"pdfs/Afghanistan, Islamic Republic of/2019/1AFGEA2019003.pdf",44,"Table_4b._Islamic_Republic_of_Afghanistan:_Central_Government_Budget,_2016–24_(In_percent_of_GDP)"
"pdfs/Afghanistan, Islamic Republic of/2020/dsacr20143.pdf",21,"Table_3a._Islamic_Republic_of_Afghanistan:_Central_Government_Budget,_2017–25_(In_billions_of_Afghanis)"
"pdfs/Afghanistan, Islamic Republic of/2020/dsacr20143.pdf",22,"Table_3b._Islamic_Republic_of_Afghanistan:_Central_Government_Budget,_2017–25_(In_percent_of_GDP)"
"pdfs/Afghanistan, Islamic Republic of/2020/dsacr20300.pdf",32,"Table_3a._Islamic_Republic_of_Afghanistan:_Central_Government_Budget,_2018–25_(In_billions_of_Afghanis)"
"pdfs/Afghanistan, Islamic Republic of/2020/dsacr20300.pdf",33,"Table_3b._Islamic_Republic_of_Afghanistan:_Central_Government_Budget,_2018–25_(In_percent_of_GDP)"
"pdfs/Afghanistan, Islamic Republic of/2021/1AFGEA2021002.pdf",30,"Table_3a._Islamic_Republic_of_Afghanistan:_Central_Government_Budget,_2018_–26_(In_billions_of_Afghanis)"
"pdfs/Afghanistan, Islamic Republic of/2021/1AFGEA2021002.pdf",31,"Table_3b._Islamic_Republic_of_Afghanistan:_Central_Government_Budget,_2018_–26_(In_percent_of_GDP)"
pdfs/Albania/2018/cr18123.pdf,29,"Table_2a._Albania:_General_Government_Operations,_2014-23_(Percent_of_GDP)"
pdfs/Albania/2018/cr18123.pdf,30,"Table_2b._Albania:_General_Government_Operations,_2014-23_(Billions_of_leks)"
pdfs/Albania/2019/1ALBEA2019003.pdf,31,"Table_2a._Albania:_General_Government_Operations,_2015–24_"
pdfs/Albania/2019/1ALBEA2019003.pdf,32,"Table_2a._Albania:_General_Government_Operations,_2015–24_"
pdfs/Albania/2019/1ALBEA2019003.pdf,31,"Table_2b._Albania:_General_Government_Operations,_2015–24_"
pdfs/Albania/2019/1ALBEA2019003.pdf,32,"Table_2b._Albania:_General_Government_Operations,_2015–24_"
pdfs/Albania/2019/cr1929-Albania-A4.pdf,30,"Table_2a._Albania:_General_Government_Operations,_2014–23_(Percent_of_GDP)"
pdfs/Albania/2019/cr1929-Albania-A4.pdf,31,"Table_2b._Albania:_General_Government_Operations,_2014–23_(Lek_billions)"
pdfs/Albania/2020/1ALBEA2020001.pdf,12,"Table_2a._Albania:_General_Government_Operations,_2016–25_(Percent_of_GDP)"
pdfs/Albania/2020/1ALBEA2020001.pdf,13,"Table_2b._Albania:_General_Government_Operations,_2016–25_(Billions_of_Leks)"
pdfs/Albania/2020/1ALBEA2020002.pdf,29,"Table_2a._Albania:_General_Government_Operations,_2016–25_(Percent_of_GDP)"
pdfs/Albania/2020/1ALBEA2020002.pdf,30,"Table_2b._Albania:_General_Government_Operations,_2016–25_(Billions_of_Leks)"
pdfs/Albania/2021/1ALBEA2021001.pdf,38,"Table_2a._Albania:_General_Government_Operations,_2017–26_(Percent_of_GDP)"
pdfs/Albania/2021/1ALBEA2021001.pdf,39,"Table_2b._Albania:_General_Government_Operations,_2017–26_(Billions_of_Leks)"
pdfs/Algeria/2018/cr18168.pdf,30,"Table_3._Algeria:_Summary_of_Central_Government_Operations,_2014–231_(In_billions_of_Algerian_Dinars)"
pdfs/Algeria/2018/cr18168.pdf,31,"Table_4._Algeria:_Summary_of_Central_Government_Operations,_2014–231_(In_percent_of_GDP_unless_otherwise_indicated)"
pdfs/Algeria/2021/1DZAEA2021001.pdf,36,"Table_5a._Algeria:_Summary_of_Central_Government_Operations,_2016–26_1_"
pdfs/Algeria/2021/1DZAEA2021001.pdf,37,"Table_5b._Algeria:_Summary_of_Central_Government_Operations,_2016–26_1_"
"pdfs/Andorra, Principality of/2021/1ANDEA2021001.pdf",26,Table_4._Andorra:_General_Government_Operations_
"pdfs/Andorra, Principality of/2021/1ANDEA2021001.pdf",27,Table_5._Andorra:_Central_Government_Operations_
pdfs/Angola/2018/cr18156.pdf,36,"Table_2a._Angola:_Statement_of_Central_Government_Operations,_2010–19_(Billions_of_local_currency)"
pdfs/Angola/2018/cr18156.pdf,37,"Table_2b._Angola:_Statement_of_Central_Government_Operations,_2010–19_(Percent_of_GDP)"
pdfs/Angola/2018/cr18156.pdf,38,"Table_2c._Angola:_Statement_of_Central_Government_Operations,_2010–19_(Percent_of_non-oil_GDP)"
pdfs/Angola/2019/1AGOEA2019001.pdf,25,"Table_2a._Angola:_Statement_of_Central_Government_Operations,_2018–22_(Billions_of_local_currency,_unless_otherwise_indicated)"
pdfs/Angola/2019/1AGOEA2019001.pdf,26,"Table_2b._Angola:_Statement_of_Central_Government_Operations,_2018–22_"
pdfs/Angola/2019/1AGOEA2019001.pdf,27,"Table_2c._Angola:_Statement_of_Central_Government_Operations,_2018–22_"
pdfs/Angola/2019/1AGOEA2019002.pdf,25,"Table_2a._Angola:_Statement_of_Central_Government_Operations,_2018–22_(Billions_of_Kwanzas,_unless_otherwise_indicated)"
pdfs/Angola/2019/1AGOEA2019002.pdf,26,"Table_2b._Angola:_Statement_of_Central_Government_Operations,_2018–22_(Percent_of_GDP)"
pdfs/Angola/2019/1AGOEA2019002.pdf,27,"Table_2c._Angola:_Statement_of_Central_Government_Operations,_2018–22_(Percent_of_non-oil_GDP)"
