V1
REPUBLIC OF TAJIKISTAN
""
""
""
"                                   Table 3. Tajikistan: General Government Operations, 2016-24"
"                                            (In percent of GDP, unless otherwise indicated)"
                                                                                       2016       2017         2018               2019               2020             2021      2022         2023      2024
                                                                                                                          Budget          Proj.   Budget     Proj.                 Proj.
""
""
Overall revenues and grants                                                             29.9       29.7         29.1            27.5       26.7     27.5      27.2     27.2      27.1         27.0      27.0
  Total revenues                                                                        27.4       27.0         26.2            24.9       24.5     24.6      24.5     24.5      24.5         24.5      24.5
   Tax revenues                                                                         20.7       21.6         21.3            21.1       20.1     20.8      20.2     20.2      20.2         20.2      20.2
       Income and profit tax                                                             4.4        5.0           5.0            4.9        4.9      4.9       4.9      4.9       4.9          4.9       4.9
       Payroll taxes                                                                     2.5        2.6           2.5            2.3        2.2      2.3       2.2      2.2       2.2          2.2       2.2
       Property taxes                                                                    0.5        0.5           0.5            0.5        0.5      0.5       0.5      0.5       0.5          0.5       0.5
       Taxes on goods and services                                                      12.1       12.3         12.2            12.3       11.6     12.2      11.8     11.8      11.8         11.8      11.8
       International trade and operations tax                                            1.2        1.2           1.1            1.1        1.0      0.9       0.9      0.9       0.9          0.9       0.9
   Nontax revenues                                                                       6.7        5.5           4.9            3.8        4.3      3.9       4.3      4.3       4.3          4.3       4.3
   Grants                                                                                2.5        2.6           2.9            2.6        2.2      2.9       2.7      2.7       2.7          2.5       2.4
     Of which: Public Investment Program (PIP) financing                                 2.5        2.3          2.7             2.2        2.2      2.6       2.6      2.6       2.4          2.2       2.2
Total expenditure and net lending                                                       38.9       35.6         31.9            31.9       30.4     29.5      31.5     31.5      31.4         31.3      31.3
 Current expenditures                                                                   17.1       17.0         17.2            19.0       17.7     18.9      17.9     17.9      17.7         17.8      17.9
       Expenditures on goods and services                                               11.6       11.4         11.4            13.1       11.7     12.8      11.7     11.8      11.8         11.8      11.9
          Wages and salaries                                                             7.0        7.1          6.8             6.9        6.9      6.6       6.9      6.9       6.9          6.9       6.9
          Others                                                                         4.6        4.2          4.6             6.2        4.8      6.2       4.8      4.9       4.9          4.9       4.9
      Interest payments                                                                  0.7        0.5          1.1             1.1        1.1      1.1       1.1      0.9       0.8          0.9       0.9
         External                                                                        0.6        0.4           0.9            1.0        0.9      0.9       0.9      0.9       0.8          0.8       0.9
         Domestic                                                                        0.1        0.0           0.2            0.2        0.2      0.2       0.2      0.0       0.0          0.0       0.0
       Transfers and subsidies                                                           4.8        5.1           4.8            4.8        4.8      5.1       5.1      5.1       5.1          5.1       5.1
          Transfers to households                                                        4.5        4.7           4.5            4.6        4.4      4.5       4.7      4.7       4.7          4.7       4.7
             Of which : Social benefits and social assistance                            0.3        0.4          0.3             0.4        0.3      0.4       0.6      0.6       0.6          0.6       0.6
          Subsidies and other current transfers                                          0.3        0.4          0.3             0.2        0.4      0.5       0.4      0.4       0.4          0.4       0.4
 Capital expenditures                                                                   15.8       18.6         14.6            12.8       12.8     10.6      13.5     13.6      13.7         13.5      13.4
       Externally financed (PIP and Rogun)                                               6.1        4.9          7.2             7.2        6.4      5.3       8.4      8.4       8.2          6.9       6.9
        Of which: Rogun                                                                   …          …           2.0             1.7        1.5      0.0       2.0      1.9       2.1          2.0       1.9
       Domestically financed                                                             9.7       13.7          7.5             5.7        6.3      5.4       5.2      5.2       5.5          6.6       6.6
        Of which: Rogun                                                                  4.3        8.5          4.9             2.7        3.5      2.5       2.3      2.2       2.1          2.0       1.9
        Of which: Non-Rogun                                                              5.4        5.2          2.6             2.9        2.8      2.9       2.8      3.0       3.4          4.6       4.7
 Net lending                                                                             6.1        0.0          0.0             0.0        0.0      0.0       0.0      0.0       0.0          0.0       0.0
"Statistical discrepancy (""+"" = additional spending)                                      0.1       -0.7          0.3              …          …        …         …        …         …            …         …"
""
""
Primary balance                                                                         -2.2       -5.5          -1.7           -3.3       -2.7     -0.9      -3.2     -3.3      -3.5         -3.5      -3.4
Overall balance (incl. PIP) 1/                                                          -9.0       -6.0          -2.8           -4.4       -3.8     -2.0      -4.3     -4.3      -4.3         -4.3      -4.3
Overall balance (excl. PIP and PIP-related grants) 1/                                   -5.4       -3.4          1.6             0.5        0.5      0.7       1.5      1.5       1.5          0.4       0.3
Overall balance (incl. PIP and excl. bank recapitalization)                             -2.9       -6.0          -2.8           -4.4       -3.8     -2.0      -4.3     -4.3      -4.3         -4.3      -4.3
Total financing (incl. PIP)                                                              9.1        5.3           3.1            4.4        3.8      2.0       4.3      4.3       4.3          4.3       4.3
   Net external                                                                          2.1        8.1           1.0             …         1.4      1.2       4.3      4.3       4.3          4.3       4.3
       Disbursements                                                                     3.6        9.7           2.5             …         2.7       …        5.8      5.8       5.8          5.5       5.5
       Amortization                                                                     -1.6       -1.5          -1.5             …        -1.2       …       -1.5     -1.5      -1.5         -1.2      -1.2
   Net domestic                                                                          7.1       -2.8           2.2             …         2.3      0.8       0.0      0.0       0.0          0.0       0.0
       Of which : NBT                                                                    5.5       -3.8          1.9              …         1.5       …        0.0      0.0       0.0          0.0       0.0
       Of which : Commercial banks (including Tbills/Bonds)                              1.5       -0.2          -0.4             …         0.0       …        0.0      0.0       0.0          0.0       0.0
       Privatization proceeds/Sales of gold and precious metal to NBT                      0        1.0          0.7              …         0.8       …        0.0      0.0       0.0          0.0       0.0
Memorandum items:
   Recapitalization bonds–commercial banks                                               6.1         …             …              …          …        …         …        …         …            …         …
   Public debt (in percent of GDP)                                                      42.1       50.4         47.9              …        45.2     46.4      46.4     47.5      48.9         50.6      52.2
"   Nominal GDP (in millions of somoni)                                               54,471     61,093        68,844          77,351     77,351   86,130    86,130   95,593   105,622      115,959   127,509"
"Sources: Tajikistan authorities, and Fund staff estimates."
1/ The 2016 overall balance includes 6.1 percent of GDP for bank recapitalization in addition to regular fiscal operations.
""
""
""
""
30          INTERNATIONAL MONETARY FUND
